,Young's Modulus (Skin),Young's Modulus (Adipose),Poissons Ratio (Skin),Poissons Ratio (Adipose),Permeability (Skin),Permeability (Adipose),Feasible,Young's Modulus (Skin)_m,Young's Modulus (Adipose)_m,Poissons Ratio (Skin)_m,Poissons Ratio (Adipose)_m,Permeability (Skin)_m,Permeability (Adipose)_m
0,11276.689618825912,22242.815017700195,0.4853868445754051,0.4953136205077171,8.545776170492173e-10,9.387008649110794e-10,True,14222.895997008369,13068.281402345932,0.48834098528501463,0.48948658841711856,4.617373981681304e-10,5.013063245428833e-10
1,11282.646774038489,19327.53107724416,0.4861868421999132,0.4882694434600795,8.496339945694433e-10,8.964250587103097e-10,True,14222.895997008369,13068.281402345932,0.48834098528501463,0.48948658841711856,4.617373981681304e-10,5.013063245428833e-10
2,11285.484284162521,19386.313915252686,0.49202952009439466,0.4914369693994522,7.5208403095603e-11,3.834618350490928e-11,True,14222.895997008369,13068.281402345932,0.48834098528501463,0.48948658841711856,4.617373981681304e-10,5.013063245428833e-10
3,11287.849554536271,6248.791048245615,0.4926049753109453,0.48791201918424276,6.439956416328055e-10,5.066986864926283e-10,True,14222.895997008369,13068.281402345932,0.48834098528501463,0.48948658841711856,4.617373981681304e-10,5.013063245428833e-10
4,11289.500209134356,2043.023098255019,0.494538698924047,0.49517178227174774,3.2690424797538424e-10,3.936375445107273e-11,True,14222.895997008369,13068.281402345932,0.48834098528501463,0.48948658841711856,4.617373981681304e-10,5.013063245428833e-10
5,11294.052622468736,23406.327669746646,0.4962538351677149,0.49557975634734,1.5733739195222902e-10,7.360342657976552e-10,True,14222.895997008369,13068.281402345932,0.48834098528501463,0.48948658841711856,4.617373981681304e-10,5.013063245428833e-10
6,11296.95806622693,22771.347203465524,0.49330239523934777,0.48348859509153624,9.867848874139358e-11,2.9199368440894245e-10,True,14222.895997008369,13068.281402345932,0.48834098528501463,0.48948658841711856,4.617373981681304e-10,5.013063245428833e-10
7,11299.731398029691,2865.4596378758333,0.48621968591909176,0.48575953699374735,4.832012057086909e-10,1.3102165254122006e-10,True,14222.895997008369,13068.281402345932,0.48834098528501463,0.48948658841711856,4.617373981681304e-10,5.013063245428833e-10
8,11302.28770556382,14189.897499988007,0.4869446866767832,0.4917074952697005,4.227237883426074e-10,7.102161608758244e-10,True,14222.895997008369,13068.281402345932,0.48834098528501463,0.48948658841711856,4.617373981681304e-10,5.013063245428833e-10
9,11305.092242445668,6443.285467188353,0.48788522188052896,0.49371035823235265,1.2433004643851164e-10,7.64022121564347e-10,True,14222.895997008369,13068.281402345932,0.48834098528501463,0.48948658841711856,4.617373981681304e-10,5.013063245428833e-10
10,11307.850598946654,23733.55617087867,0.49583484087925267,0.4820284106768457,4.81714939318266e-10,1.4018880131323038e-10,True,14222.895997008369,13068.281402345932,0.48834098528501463,0.48948658841711856,4.617373981681304e-10,5.013063245428833e-10
11,11311.928271693401,17734.261065903924,0.49320619995710485,0.4886096078895511,8.19718384981359e-10,6.9492698494935e-10,True,14222.895997008369,13068.281402345932,0.48834098528501463,0.48948658841711856,4.617373981681304e-10,5.013063245428833e-10
12,11312.26274623458,24548.546357710562,0.48669924379043017,0.4839911305865788,1.6608990528439507e-10,5.679948540058142e-10,True,14222.895997008369,13068.281402345932,0.48834098528501463,0.48948658841711856,4.617373981681304e-10,5.013063245428833e-10
13,11313.99691104889,18278.08380126953,0.49534692472219466,0.4989515691399574,7.936052125692368e-10,8.950251197814942e-10,True,14222.895997008369,13068.281402345932,0.48834098528501463,0.48948658841711856,4.617373981681304e-10,5.013063245428833e-10
14,10132.93826761067,16524.61072357113,0.490476505326559,0.4858193931580542,4.027777619994192e-10,5.865945005679839e-10,True,14222.895997008369,13068.281402345932,0.48834098528501463,0.48948658841711856,4.617373981681304e-10,5.013063245428833e-10
15,11318.592124173103,11696.973948914398,0.49225871351905925,0.4823568236674739,8.752250998085081e-10,3.245571593871889e-10,True,14222.895997008369,13068.281402345932,0.48834098528501463,0.48948658841711856,4.617373981681304e-10,5.013063245428833e-10
16,11326.158195734024,17849.000453948975,0.48845401856303217,0.49428013890981676,2.463690458238125e-10,3.272809720039368e-10,True,14222.895997008369,13068.281402345932,0.48834098528501463,0.48948658841711856,4.617373981681304e-10,5.013063245428833e-10
17,11326.526525161898,12782.198590066791,0.48061220520277953,0.49399904815683227,7.679499736464792e-10,3.01139038283221e-10,True,14222.895997008369,13068.281402345932,0.48834098528501463,0.48948658841711856,4.617373981681304e-10,5.013063245428833e-10
18,11328.834289729422,2304.443373870972,0.48084569380372444,0.48153959846841937,4.577138425602168e-10,4.375760690345919e-10,True,14222.895997008369,13068.281402345932,0.48834098528501463,0.48948658841711856,4.617373981681304e-10,5.013063245428833e-10
19,11335.248579981142,7031.5502632492335,0.49442438930566296,0.4813402182929054,2.753670664680569e-10,9.491475562681212e-10,True,14222.895997008369,13068.281402345932,0.48834098528501463,0.48948658841711856,4.617373981681304e-10,5.013063245428833e-10
20,11336.28822658593,6318.422501461942,0.48732764723281585,0.4847070879937069,8.191275932996436e-10,2.739839050215636e-10,True,14222.895997008369,13068.281402345932,0.48834098528501463,0.48948658841711856,4.617373981681304e-10,5.013063245428833e-10
21,11338.667571544647,19794.524669647217,0.4834417538195848,0.48715920397639273,7.529852277040482e-10,4.6313280940055854e-10,True,14222.895997008369,13068.281402345932,0.48834098528501463,0.48948658841711856,4.617373981681304e-10,5.013063245428833e-10
22,11347.931484512355,15196.662767126129,0.4876258478436527,0.4934894401071697,7.076597247419039e-10,6.166430664897036e-10,True,14222.895997008369,13068.281402345932,0.48834098528501463,0.48948658841711856,4.617373981681304e-10,5.013063245428833e-10
23,11357.555036817408,14202.604769422465,0.4861123960799434,0.48951016854694396,3.1603341191449514e-10,9.604292367499024e-10,True,14222.895997008369,13068.281402345932,0.48834098528501463,0.48948658841711856,4.617373981681304e-10,5.013063245428833e-10
24,11360.09205679009,23283.540380733783,0.48779191277760203,0.4921595083615691,9.408490004689817e-11,4.1585284510759063e-10,True,14222.895997008369,13068.281402345932,0.48834098528501463,0.48948658841711856,4.617373981681304e-10,5.013063245428833e-10
25,10137.732265492636,23738.579216320446,0.48735587996819596,0.4930635051716518,5.738097903638061e-10,4.69057198946405e-10,True,14222.895997008369,13068.281402345932,0.48834098528501463,0.48948658841711856,4.617373981681304e-10,5.013063245428833e-10
26,11364.771093749412,3622.9443947045147,0.4801856059509228,0.4874182915489433,5.913675323630823e-10,1.5287246084255726e-10,True,14222.895997008369,13068.281402345932,0.48834098528501463,0.48948658841711856,4.617373981681304e-10,5.013063245428833e-10
27,11370.814216050372,3843.798276589849,0.48858778024844113,0.48326103343655125,7.624747025062084e-10,6.552497083123967e-10,True,14222.895997008369,13068.281402345932,0.48834098528501463,0.48948658841711856,4.617373981681304e-10,5.013063245428833e-10
28,11373.931117341985,17540.370944435963,0.4892726822187191,0.4811292602373043,5.075546878588888e-10,8.170452607219195e-10,True,14222.895997008369,13068.281402345932,0.48834098528501463,0.48948658841711856,4.617373981681304e-10,5.013063245428833e-10
29,10139.213918713904,2750.3462884502737,0.4835722884773977,0.48264001958881997,3.08385889044187e-10,3.8327074553229493e-10,True,14222.895997008369,13068.281402345932,0.48834098528501463,0.48948658841711856,4.617373981681304e-10,5.013063245428833e-10
30,11381.155798793334,1900.5100537460785,0.4802847005988744,0.4926725192361213,4.762999923239837e-11,7.487151154549153e-10,True,14222.895997008369,13068.281402345932,0.48834098528501463,0.48948658841711856,4.617373981681304e-10,5.013063245428833e-10
31,11383.129872866892,11750.154254503044,0.4884468294983625,0.4855514732316437,1.243419984138518e-10,1.0811168429584248e-10,True,14222.895997008369,13068.281402345932,0.48834098528501463,0.48948658841711856,4.617373981681304e-10,5.013063245428833e-10
32,11385.000923136628,6146.13140446668,0.49500104375222925,0.49302005249870806,6.983314850214423e-10,1.438346618095321e-10,True,14222.895997008369,13068.281402345932,0.48834098528501463,0.48948658841711856,4.617373981681304e-10,5.013063245428833e-10
